Model,Test Data,PSNR,SSIM,MSE
checkpoint_epoch_0_srresnet.pth.tar,Set5,29.250,0.841,103.916
checkpoint_epoch_0_srresnet.pth.tar,Set14,26.789,0.749,170.234
checkpoint_epoch_0_srresnet.pth.tar,BSDS100,26.479,0.715,189.122
checkpoint_epoch_10_srresnet.pth.tar,Set5,31.021,0.886,61.823
checkpoint_epoch_10_srresnet.pth.tar,Set14,27.959,0.781,139.098
checkpoint_epoch_10_srresnet.pth.tar,BSDS100,27.153,0.740,169.123
checkpoint_epoch_11_srresnet.pth.tar,Set5,31.073,0.887,61.070
checkpoint_epoch_11_srresnet.pth.tar,Set14,27.997,0.782,138.543
checkpoint_epoch_11_srresnet.pth.tar,BSDS100,27.179,0.740,168.562
checkpoint_epoch_12_srresnet.pth.tar,Set5,31.102,0.887,60.612
checkpoint_epoch_12_srresnet.pth.tar,Set14,28.036,0.782,137.303
checkpoint_epoch_12_srresnet.pth.tar,BSDS100,27.196,0.740,167.986
checkpoint_epoch_13_srresnet.pth.tar,Set5,31.103,0.887,60.611
checkpoint_epoch_13_srresnet.pth.tar,Set14,28.034,0.781,137.277
checkpoint_epoch_13_srresnet.pth.tar,BSDS100,27.194,0.739,168.037
checkpoint_epoch_14_srresnet.pth.tar,Set5,31.157,0.889,59.526
checkpoint_epoch_14_srresnet.pth.tar,Set14,28.068,0.784,136.639
checkpoint_epoch_14_srresnet.pth.tar,BSDS100,27.233,0.742,166.950
checkpoint_epoch_15_srresnet.pth.tar,Set5,31.195,0.889,58.736
checkpoint_epoch_15_srresnet.pth.tar,Set14,28.099,0.783,135.796
checkpoint_epoch_15_srresnet.pth.tar,BSDS100,27.229,0.741,166.981
checkpoint_epoch_16_srresnet.pth.tar,Set5,31.212,0.890,58.280
checkpoint_epoch_16_srresnet.pth.tar,Set14,28.111,0.784,135.302
checkpoint_epoch_16_srresnet.pth.tar,BSDS100,27.259,0.742,166.220
checkpoint_epoch_17_srresnet.pth.tar,Set5,31.258,0.890,57.705
checkpoint_epoch_17_srresnet.pth.tar,Set14,28.116,0.785,135.379
checkpoint_epoch_17_srresnet.pth.tar,BSDS100,27.254,0.742,166.297
checkpoint_epoch_18_srresnet.pth.tar,Set5,31.279,0.891,57.491
checkpoint_epoch_18_srresnet.pth.tar,Set14,28.135,0.786,134.750
checkpoint_epoch_18_srresnet.pth.tar,BSDS100,27.259,0.743,166.157
checkpoint_epoch_19_srresnet.pth.tar,Set5,31.303,0.891,57.041
checkpoint_epoch_19_srresnet.pth.tar,Set14,28.149,0.785,134.368
checkpoint_epoch_19_srresnet.pth.tar,BSDS100,27.262,0.742,166.133
checkpoint_epoch_1_srresnet.pth.tar,Set5,29.905,0.859,88.405
checkpoint_epoch_1_srresnet.pth.tar,Set14,27.226,0.761,157.592
checkpoint_epoch_1_srresnet.pth.tar,BSDS100,26.729,0.724,181.242
checkpoint_epoch_20_srresnet.pth.tar,Set5,31.363,0.892,56.179
checkpoint_epoch_20_srresnet.pth.tar,Set14,28.194,0.787,133.583
checkpoint_epoch_20_srresnet.pth.tar,BSDS100,27.283,0.744,165.431
checkpoint_epoch_2_srresnet.pth.tar,Set5,30.259,0.868,79.527
checkpoint_epoch_2_srresnet.pth.tar,Set14,27.464,0.767,151.392
checkpoint_epoch_2_srresnet.pth.tar,BSDS100,26.851,0.727,177.811
checkpoint_epoch_3_srresnet.pth.tar,Set5,30.354,0.872,75.743
checkpoint_epoch_3_srresnet.pth.tar,Set14,27.553,0.770,148.658
checkpoint_epoch_3_srresnet.pth.tar,BSDS100,26.921,0.731,175.446
checkpoint_epoch_4_srresnet.pth.tar,Set5,30.591,0.877,71.131
checkpoint_epoch_4_srresnet.pth.tar,Set14,27.706,0.774,145.274
checkpoint_epoch_4_srresnet.pth.tar,BSDS100,26.993,0.733,173.476
checkpoint_epoch_5_srresnet.pth.tar,Set5,30.672,0.878,69.119
checkpoint_epoch_5_srresnet.pth.tar,Set14,27.747,0.774,144.206
checkpoint_epoch_5_srresnet.pth.tar,BSDS100,27.016,0.733,173.034
checkpoint_epoch_6_srresnet.pth.tar,Set5,30.746,0.880,67.349
checkpoint_epoch_6_srresnet.pth.tar,Set14,27.803,0.777,142.980
checkpoint_epoch_6_srresnet.pth.tar,BSDS100,27.048,0.736,171.965
checkpoint_epoch_7_srresnet.pth.tar,Set5,30.829,0.882,65.609
checkpoint_epoch_7_srresnet.pth.tar,Set14,27.851,0.777,141.774
checkpoint_epoch_7_srresnet.pth.tar,BSDS100,27.083,0.736,171.007
checkpoint_epoch_8_srresnet.pth.tar,Set5,30.903,0.883,64.449
checkpoint_epoch_8_srresnet.pth.tar,Set14,27.909,0.778,140.226
checkpoint_epoch_8_srresnet.pth.tar,BSDS100,27.113,0.737,170.386
checkpoint_epoch_9_srresnet.pth.tar,Set5,30.951,0.884,62.763
checkpoint_epoch_9_srresnet.pth.tar,Set14,27.952,0.780,139.330
checkpoint_epoch_9_srresnet.pth.tar,BSDS100,27.140,0.738,169.543
