Model,Test Data,PSNR,SSIM,MSE
checkpoint_epoch_0_srresnet.pth.tar,Set5,29.228,0.840,103.806
checkpoint_epoch_0_srresnet.pth.tar,Set14,26.722,0.746,173.069
checkpoint_epoch_0_srresnet.pth.tar,BSDS100,26.377,0.712,191.669
checkpoint_epoch_10_srresnet.pth.tar,Set5,30.873,0.883,65.023
checkpoint_epoch_10_srresnet.pth.tar,Set14,27.901,0.780,140.194
checkpoint_epoch_10_srresnet.pth.tar,BSDS100,27.123,0.738,169.885
checkpoint_epoch_11_srresnet.pth.tar,Set5,30.889,0.884,64.902
checkpoint_epoch_11_srresnet.pth.tar,Set14,27.904,0.780,140.454
checkpoint_epoch_11_srresnet.pth.tar,BSDS100,27.120,0.739,169.967
checkpoint_epoch_12_srresnet.pth.tar,Set5,30.969,0.884,63.646
checkpoint_epoch_12_srresnet.pth.tar,Set14,27.926,0.780,139.565
checkpoint_epoch_12_srresnet.pth.tar,BSDS100,27.130,0.738,169.554
checkpoint_epoch_13_srresnet.pth.tar,Set5,31.031,0.886,62.338
checkpoint_epoch_13_srresnet.pth.tar,Set14,27.975,0.782,138.492
checkpoint_epoch_13_srresnet.pth.tar,BSDS100,27.168,0.740,168.507
checkpoint_epoch_14_srresnet.pth.tar,Set5,31.069,0.886,61.496
checkpoint_epoch_14_srresnet.pth.tar,Set14,28.006,0.782,137.790
checkpoint_epoch_14_srresnet.pth.tar,BSDS100,27.181,0.740,168.403
checkpoint_epoch_15_srresnet.pth.tar,Set5,31.079,0.887,61.088
checkpoint_epoch_15_srresnet.pth.tar,Set14,27.997,0.783,138.014
checkpoint_epoch_15_srresnet.pth.tar,BSDS100,27.189,0.741,168.053
checkpoint_epoch_16_srresnet.pth.tar,Set5,31.143,0.887,60.491
checkpoint_epoch_16_srresnet.pth.tar,Set14,28.034,0.782,137.026
checkpoint_epoch_16_srresnet.pth.tar,BSDS100,27.207,0.740,167.721
checkpoint_epoch_17_srresnet.pth.tar,Set5,31.129,0.888,60.881
checkpoint_epoch_17_srresnet.pth.tar,Set14,28.035,0.783,136.956
checkpoint_epoch_17_srresnet.pth.tar,BSDS100,27.200,0.741,167.751
checkpoint_epoch_18_srresnet.pth.tar,Set5,31.117,0.888,60.379
checkpoint_epoch_18_srresnet.pth.tar,Set14,28.031,0.783,137.047
checkpoint_epoch_18_srresnet.pth.tar,BSDS100,27.214,0.741,167.387
checkpoint_epoch_19_srresnet.pth.tar,Set5,31.196,0.889,59.485
checkpoint_epoch_19_srresnet.pth.tar,Set14,28.067,0.784,136.092
checkpoint_epoch_19_srresnet.pth.tar,BSDS100,27.223,0.741,167.076
checkpoint_epoch_1_srresnet.pth.tar,Set5,29.856,0.859,89.073
checkpoint_epoch_1_srresnet.pth.tar,Set14,27.186,0.760,159.110
checkpoint_epoch_1_srresnet.pth.tar,BSDS100,26.698,0.722,182.221
checkpoint_epoch_20_srresnet.pth.tar,Set5,31.168,0.889,59.505
checkpoint_epoch_20_srresnet.pth.tar,Set14,28.078,0.785,135.915
checkpoint_epoch_20_srresnet.pth.tar,BSDS100,27.259,0.743,166.152
checkpoint_epoch_2_srresnet.pth.tar,Set5,30.129,0.867,82.144
checkpoint_epoch_2_srresnet.pth.tar,Set14,27.384,0.766,153.796
checkpoint_epoch_2_srresnet.pth.tar,BSDS100,26.804,0.726,178.919
checkpoint_epoch_3_srresnet.pth.tar,Set5,30.351,0.872,77.493
checkpoint_epoch_3_srresnet.pth.tar,Set14,27.546,0.770,149.882
checkpoint_epoch_3_srresnet.pth.tar,BSDS100,26.901,0.730,176.324
checkpoint_epoch_4_srresnet.pth.tar,Set5,30.501,0.875,73.945
checkpoint_epoch_4_srresnet.pth.tar,Set14,27.647,0.772,146.897
checkpoint_epoch_4_srresnet.pth.tar,BSDS100,26.952,0.731,174.869
checkpoint_epoch_5_srresnet.pth.tar,Set5,30.550,0.877,72.321
checkpoint_epoch_5_srresnet.pth.tar,Set14,27.693,0.774,145.604
checkpoint_epoch_5_srresnet.pth.tar,BSDS100,27.000,0.734,173.394
checkpoint_epoch_6_srresnet.pth.tar,Set5,30.612,0.879,71.387
checkpoint_epoch_6_srresnet.pth.tar,Set14,27.747,0.776,144.599
checkpoint_epoch_6_srresnet.pth.tar,BSDS100,26.995,0.735,173.396
checkpoint_epoch_7_srresnet.pth.tar,Set5,30.666,0.879,70.518
checkpoint_epoch_7_srresnet.pth.tar,Set14,27.782,0.776,143.157
checkpoint_epoch_7_srresnet.pth.tar,BSDS100,27.034,0.734,172.491
checkpoint_epoch_8_srresnet.pth.tar,Set5,30.761,0.881,67.765
checkpoint_epoch_8_srresnet.pth.tar,Set14,27.804,0.778,143.004
checkpoint_epoch_8_srresnet.pth.tar,BSDS100,27.054,0.736,171.688
checkpoint_epoch_9_srresnet.pth.tar,Set5,30.843,0.882,66.078
checkpoint_epoch_9_srresnet.pth.tar,Set14,27.861,0.779,141.347
checkpoint_epoch_9_srresnet.pth.tar,BSDS100,27.102,0.737,170.479
