Model,Test Data,PSNR,SSIM
checkpoint_epoch_0_srresnet.pth.tar,Set5,28.882,0.827
checkpoint_epoch_0_srresnet.pth.tar,Set14,26.542,0.739
checkpoint_epoch_0_srresnet.pth.tar,BSDS100,26.311,0.707
checkpoint_epoch_10_srresnet.pth.tar,Set5,30.818,0.882
checkpoint_epoch_10_srresnet.pth.tar,Set14,27.858,0.779
checkpoint_epoch_10_srresnet.pth.tar,BSDS100,27.075,0.737
checkpoint_epoch_11_srresnet.pth.tar,Set5,30.880,0.883
checkpoint_epoch_11_srresnet.pth.tar,Set14,27.890,0.779
checkpoint_epoch_11_srresnet.pth.tar,BSDS100,27.109,0.738
checkpoint_epoch_12_srresnet.pth.tar,Set5,30.906,0.883
checkpoint_epoch_12_srresnet.pth.tar,Set14,27.923,0.780
checkpoint_epoch_12_srresnet.pth.tar,BSDS100,27.116,0.738
checkpoint_epoch_13_srresnet.pth.tar,Set5,30.929,0.885
checkpoint_epoch_13_srresnet.pth.tar,Set14,27.942,0.781
checkpoint_epoch_13_srresnet.pth.tar,BSDS100,27.129,0.739
checkpoint_epoch_14_srresnet.pth.tar,Set5,30.961,0.885
checkpoint_epoch_14_srresnet.pth.tar,Set14,27.966,0.781
checkpoint_epoch_14_srresnet.pth.tar,BSDS100,27.152,0.739
checkpoint_epoch_15_srresnet.pth.tar,Set5,30.991,0.885
checkpoint_epoch_15_srresnet.pth.tar,Set14,27.982,0.781
checkpoint_epoch_15_srresnet.pth.tar,BSDS100,27.150,0.739
checkpoint_epoch_16_srresnet.pth.tar,Set5,31.041,0.886
checkpoint_epoch_16_srresnet.pth.tar,Set14,27.983,0.781
checkpoint_epoch_16_srresnet.pth.tar,BSDS100,27.165,0.739
checkpoint_epoch_17_srresnet.pth.tar,Set5,31.106,0.887
checkpoint_epoch_17_srresnet.pth.tar,Set14,28.015,0.782
checkpoint_epoch_17_srresnet.pth.tar,BSDS100,27.187,0.740
checkpoint_epoch_18_srresnet.pth.tar,Set5,31.116,0.887
checkpoint_epoch_18_srresnet.pth.tar,Set14,28.035,0.783
checkpoint_epoch_18_srresnet.pth.tar,BSDS100,27.189,0.741
checkpoint_epoch_19_srresnet.pth.tar,Set5,31.093,0.887
checkpoint_epoch_19_srresnet.pth.tar,Set14,28.043,0.783
checkpoint_epoch_19_srresnet.pth.tar,BSDS100,27.197,0.741
checkpoint_epoch_1_srresnet.pth.tar,Set5,29.537,0.847
checkpoint_epoch_1_srresnet.pth.tar,Set14,26.945,0.752
checkpoint_epoch_1_srresnet.pth.tar,BSDS100,26.559,0.717
checkpoint_epoch_20_srresnet.pth.tar,Set5,31.174,0.888
checkpoint_epoch_20_srresnet.pth.tar,Set14,28.080,0.784
checkpoint_epoch_20_srresnet.pth.tar,BSDS100,27.226,0.742
checkpoint_epoch_21_srresnet.pth.tar,Set5,31.069,0.888
checkpoint_epoch_21_srresnet.pth.tar,Set14,28.059,0.784
checkpoint_epoch_21_srresnet.pth.tar,BSDS100,27.214,0.742
checkpoint_epoch_22_srresnet.pth.tar,Set5,31.234,0.889
checkpoint_epoch_22_srresnet.pth.tar,Set14,28.082,0.784
checkpoint_epoch_22_srresnet.pth.tar,BSDS100,27.240,0.742
checkpoint_epoch_23_srresnet.pth.tar,Set5,31.234,0.889
checkpoint_epoch_23_srresnet.pth.tar,Set14,28.093,0.785
checkpoint_epoch_23_srresnet.pth.tar,BSDS100,27.245,0.742
checkpoint_epoch_24_srresnet.pth.tar,Set5,31.252,0.890
checkpoint_epoch_24_srresnet.pth.tar,Set14,28.116,0.786
checkpoint_epoch_24_srresnet.pth.tar,BSDS100,27.246,0.743
checkpoint_epoch_25_srresnet.pth.tar,Set5,31.284,0.890
