Model,Test Data,PSNR,SSIM,MSE
checkpoint_epoch_0_srresnet.pth.tar,Set5,28.882,0.827,112.758
checkpoint_epoch_0_srresnet.pth.tar,Set14,26.542,0.739,178.824
checkpoint_epoch_0_srresnet.pth.tar,BSDS100,26.311,0.707,194.711
checkpoint_epoch_10_srresnet.pth.tar,Set5,30.818,0.882,66.712
checkpoint_epoch_10_srresnet.pth.tar,Set14,27.858,0.779,141.558
checkpoint_epoch_10_srresnet.pth.tar,BSDS100,27.075,0.737,171.219
checkpoint_epoch_11_srresnet.pth.tar,Set5,30.880,0.883,64.587
checkpoint_epoch_11_srresnet.pth.tar,Set14,27.890,0.779,140.354
checkpoint_epoch_11_srresnet.pth.tar,BSDS100,27.109,0.738,170.274
checkpoint_epoch_12_srresnet.pth.tar,Set5,30.906,0.883,64.575
checkpoint_epoch_12_srresnet.pth.tar,Set14,27.923,0.780,139.725
checkpoint_epoch_12_srresnet.pth.tar,BSDS100,27.116,0.738,170.081
checkpoint_epoch_13_srresnet.pth.tar,Set5,30.929,0.885,63.558
checkpoint_epoch_13_srresnet.pth.tar,Set14,27.942,0.781,139.192
checkpoint_epoch_13_srresnet.pth.tar,BSDS100,27.129,0.739,169.608
checkpoint_epoch_14_srresnet.pth.tar,Set5,30.961,0.885,63.852
checkpoint_epoch_14_srresnet.pth.tar,Set14,27.966,0.781,138.737
checkpoint_epoch_14_srresnet.pth.tar,BSDS100,27.152,0.739,169.016
checkpoint_epoch_15_srresnet.pth.tar,Set5,30.991,0.885,62.933
checkpoint_epoch_15_srresnet.pth.tar,Set14,27.982,0.781,138.298
checkpoint_epoch_15_srresnet.pth.tar,BSDS100,27.150,0.739,169.374
checkpoint_epoch_16_srresnet.pth.tar,Set5,31.041,0.886,61.921
checkpoint_epoch_16_srresnet.pth.tar,Set14,27.983,0.781,138.361
checkpoint_epoch_16_srresnet.pth.tar,BSDS100,27.165,0.739,168.910
checkpoint_epoch_17_srresnet.pth.tar,Set5,31.106,0.887,60.822
checkpoint_epoch_17_srresnet.pth.tar,Set14,28.015,0.782,137.373
checkpoint_epoch_17_srresnet.pth.tar,BSDS100,27.187,0.740,168.139
checkpoint_epoch_18_srresnet.pth.tar,Set5,31.116,0.887,60.583
checkpoint_epoch_18_srresnet.pth.tar,Set14,28.035,0.783,137.058
checkpoint_epoch_18_srresnet.pth.tar,BSDS100,27.189,0.741,168.080
checkpoint_epoch_19_srresnet.pth.tar,Set5,31.093,0.887,60.639
checkpoint_epoch_19_srresnet.pth.tar,Set14,28.043,0.783,136.559
checkpoint_epoch_19_srresnet.pth.tar,BSDS100,27.197,0.741,167.705
checkpoint_epoch_1_srresnet.pth.tar,Set5,29.537,0.847,97.547
checkpoint_epoch_1_srresnet.pth.tar,Set14,26.945,0.752,166.098
checkpoint_epoch_1_srresnet.pth.tar,BSDS100,26.559,0.717,186.402
checkpoint_epoch_20_srresnet.pth.tar,Set5,31.174,0.888,59.236
checkpoint_epoch_20_srresnet.pth.tar,Set14,28.080,0.784,135.595
checkpoint_epoch_20_srresnet.pth.tar,BSDS100,27.226,0.742,167.066
checkpoint_epoch_21_srresnet.pth.tar,Set5,31.069,0.888,60.295
checkpoint_epoch_21_srresnet.pth.tar,Set14,28.059,0.784,135.944
checkpoint_epoch_21_srresnet.pth.tar,BSDS100,27.214,0.742,167.013
checkpoint_epoch_22_srresnet.pth.tar,Set5,31.234,0.889,58.586
checkpoint_epoch_22_srresnet.pth.tar,Set14,28.082,0.784,135.795
checkpoint_epoch_22_srresnet.pth.tar,BSDS100,27.240,0.742,166.619
checkpoint_epoch_23_srresnet.pth.tar,Set5,31.234,0.889,58.383
checkpoint_epoch_23_srresnet.pth.tar,Set14,28.093,0.785,135.293
checkpoint_epoch_23_srresnet.pth.tar,BSDS100,27.245,0.742,166.487
checkpoint_epoch_24_srresnet.pth.tar,Set5,31.252,0.890,58.115
checkpoint_epoch_24_srresnet.pth.tar,Set14,28.116,0.786,134.924
checkpoint_epoch_24_srresnet.pth.tar,BSDS100,27.246,0.743,166.449
checkpoint_epoch_25_srresnet.pth.tar,Set5,31.284,0.890,58.103
checkpoint_epoch_25_srresnet.pth.tar,Set14,28.132,0.786,134.432
checkpoint_epoch_25_srresnet.pth.tar,BSDS100,27.273,0.743,165.754
checkpoint_epoch_26_srresnet.pth.tar,Set5,31.286,0.891,57.911
checkpoint_epoch_26_srresnet.pth.tar,Set14,28.138,0.786,134.251
checkpoint_epoch_26_srresnet.pth.tar,BSDS100,27.274,0.744,165.811
checkpoint_epoch_27_srresnet.pth.tar,Set5,31.329,0.891,56.987
checkpoint_epoch_27_srresnet.pth.tar,Set14,28.148,0.787,133.973
checkpoint_epoch_27_srresnet.pth.tar,BSDS100,27.269,0.744,165.756
checkpoint_epoch_28_srresnet.pth.tar,Set5,31.329,0.891,57.112
checkpoint_epoch_28_srresnet.pth.tar,Set14,28.162,0.787,133.809
checkpoint_epoch_28_srresnet.pth.tar,BSDS100,27.278,0.744,165.500
checkpoint_epoch_29_srresnet.pth.tar,Set5,31.345,0.892,56.664
checkpoint_epoch_29_srresnet.pth.tar,Set14,28.169,0.787,133.278
checkpoint_epoch_29_srresnet.pth.tar,BSDS100,27.288,0.744,165.328
checkpoint_epoch_2_srresnet.pth.tar,Set5,29.859,0.858,89.272
checkpoint_epoch_2_srresnet.pth.tar,Set14,27.191,0.760,158.817
